topology: 3 3
in: 169 35 183
out: 0 0 1
in: 153 191 171
out: 0 1 0
in: 179 245 53
out: 0 1 0
in: 240 164 241
out: 0 0 1
in: 133 105 163
out: 0 0 1
in: 149 14 23
out: 1 0 0
in: 32 1 126
out: 0 0 1
in: 97 179 109
out: 0 1 0
in: 201 187 78
out: 0 1 0
in: 121 162 178
out: 0 0 1
in: 198 109 179
out: 0 0 1
in: 42 88 131
out: 0 0 1
in: 218 250 85
out: 0 1 0
in: 67 111 240
out: 0 0 1
in: 37 126 215
out: 0 0 1
in: 92 69 141
out: 0 0 1
in: 234 224 100
out: 0 1 0
in: 247 42 74
out: 1 0 0
in: 131 6 73
out: 1 0 0
in: 220 129 200
out: 0 0 1
in: 121 190 26
out: 0 1 0
in: 130 91 41
out: 0 1 0
in: 238 70 194
out: 1 0 0
in: 44 222 169
out: 0 1 0
in: 199 139 253
out: 0 0 1
in: 223 171 153
out: 0 1 0
in: 38 218 103
out: 0 1 0
in: 126 199 103
out: 0 1 0
in: 140 68 69
out: 1 0 0
in: 170 210 64
out: 0 1 0
in: 242 29 241
out: 0 0 1
in: 125 48 27
out: 1 0 0
in: 138 234 54
out: 0 1 0
in: 93 102 9
out: 0 1 0
in: 192 38 57
out: 1 0 0
in: 148 206 192
out: 0 1 0
in: 199 116 13
out: 0 1 0
in: 108 94 201
out: 0 0 1
in: 88 24 229
out: 0 0 1
in: 137 119 64
out: 0 1 0
in: 41 75 53
out: 0 1 0
in: 231 153 53
out: 0 1 0
in: 70 57 242
out: 0 0 1
in: 254 51 234
out: 0 0 1
in: 99 36 31
out: 1 0 0
in: 236 145 130
out: 1 0 0
in: 142 160 51
out: 0 1 0
in: 252 108 188
out: 1 0 0
in: 250 209 90
out: 0 1 0
in: 35 190 97
out: 0 1 0
in: 75 188 135
out: 0 1 0
in: 109 164 188
out: 0 0 1
in: 234 128 246
out: 0 0 1
in: 193 153 113
out: 0 1 0
in: 185 184 235
out: 0 0 1
in: 125 188 211
out: 0 0 1
in: 140 107 23
out: 0 1 0
in: 100 231 181
out: 0 1 0
in: 81 246 77
out: 0 1 0
in: 205 129 177
out: 0 0 1
in: 176 66 25
out: 1 0 0
in: 79 42 180
out: 0 0 1
in: 169 11 68
out: 1 0 0
in: 191 142 81
out: 0 1 0
in: 226 193 97
out: 0 1 0
in: 93 143 26
out: 0 1 0
in: 224 193 47
out: 0 1 0
in: 80 198 15
out: 0 1 0
in: 63 221 106
out: 0 1 0
in: 228 81 59
out: 1 0 0
in: 249 155 212
out: 0 0 1
in: 93 43 25
out: 1 0 0
in: 36 156 23
out: 0 1 0
in: 138 57 125
out: 0 0 1
in: 103 143 67
out: 0 1 0
in: 80 245 175
out: 0 1 0
in: 247 67 234
out: 0 0 1
in: 148 62 34
out: 1 0 0
in: 153 151 3
out: 0 1 0
in: 64 49 97
out: 0 0 1
in: 143 151 233
out: 0 0 1
in: 188 102 96
out: 1 0 0
in: 170 42 79
out: 1 0 0
in: 217 237 63
out: 0 1 0
in: 160 134 100
out: 0 1 0
in: 41 37 150
out: 0 0 1
in: 17 225 65
out: 0 1 0
in: 52 161 172
out: 0 0 1
in: 228 106 247
out: 0 0 1
in: 75 172 71
out: 0 1 0
in: 148 81 61
out: 1 0 0
in: 34 45 114
out: 0 0 1
in: 36 197 90
out: 0 1 0
in: 151 137 70
out: 0 1 0
in: 200 144 128
out: 1 0 0
in: 199 218 83
out: 0 1 0
in: 32 59 207
out: 0 0 1
in: 188 249 2
out: 0 1 0
in: 74 102 178
out: 0 0 1
in: 24 242 82
out: 0 1 0
